doc_id,page_number,text_raw,text_tfidf,text_embed
IR_ch1,1,Introduction to Information Retrieval Introducing Information Retrieval and Web Search,introduct inform retriev introduc inform retriev web search,introduction to information retrieval introducing information retrieval and web search
IR_ch1,2,"Information Retrieval • Information Retrieval (IR) is finding material (usually documents) of an unstructured nature (usually text) that satisfies an information need from within large collections (usually stored on computers). – These days we frequently think first of web search, but there are many other cases: • E-mail search • Searching your laptop • Corporate knowledge bases • Legal information retrieval 2",inform retriev inform retriev ir find materi usual document unstructur natur usual text satisfi inform need larg collect usual store comput day frequent think web search case e mail search search laptop corpor knowledg base legal inform retriev,"information retrieval • information retrieval (ir) is finding material (usually documents) of an unstructured nature (usually text) that satisfies an information need from within large collections (usually stored on computers). – these days we frequently think first of web search, but there are many other cases: • e-mail search • searching your laptop • corporate knowledge bases • legal information retrieval 2"
IR_ch1,3,Unstructured (text) vs. structured (database) data in the mid-nineties 3,unstructur text vs structur databas data mid nineti,unstructured (text) vs. structured (database) data in the mid-nineties 3
IR_ch1,4,Unstructured (text) vs. structured (database) data today 4,unstructur text vs structur databas data today,unstructured (text) vs. structured (database) data today 4
IR_ch1,5,Basic assumptions of Information Retrieval • Collection: A set of documents – Assume it is a static collection for the moment • Goal: Retrieve documents with information that is relevant to the user’s information need and helps the user complete a task 5 Sec. 1.1,basic assumpt inform retriev collect set document assum static collect moment goal retriev document inform relev user s inform need help user complet task sec,basic assumptions of information retrieval • collection: a set of documents – assume it is a static collection for the moment • goal: retrieve documents with information that is relevant to the user’s information need and helps the user complete a task 5 sec. 1.1
IR_ch1,6,how trap mice alive The classic search model Collection User task Info need Query Results Search engine Query refinement Get rid of mice in a politically correct way Info about removing mice without killing them Misconception? Misformulation? Searc h,trap mice aliv classic search model collect user task info need queri result search engin queri refin rid mice polit correct way info remov mice kill misconcept misformul searc h,how trap mice alive the classic search model collection user task info need query results search engine query refinement get rid of mice in a politically correct way info about removing mice without killing them misconception? misformulation? searc h
IR_ch1,7,How good are the retrieved docs? ▪Precision : Fraction of retrieved docs that are relevant to the user’s information need ▪Recall : Fraction of relevant docs in collection that are retrieved ▪More precise definitions and measurements to follow later 7 Sec. 1.1,good retriev doc precis fraction retriev doc relev user s inform need recal fraction relev doc collect retriev precis definit measur follow later sec,how good are the retrieved docs? ▪precision : fraction of retrieved docs that are relevant to the user’s information need ▪recall : fraction of relevant docs in collection that are retrieved ▪more precise definitions and measurements to follow later 7 sec. 1.1
IR_ch1,8,Introduction to Information Retrieval Term-document incidence matrices,introduct inform retriev term document incid matric,introduction to information retrieval term-document incidence matrices
IR_ch1,9,"Unstructured data in 1620 • Which plays of Shakespeare contain the words Brutus AND Caesar  but NOT Calpurnia? • One could grep all of Shakespeare’s plays for Brutus and Caesar, then strip out lines containing Calpurnia? • Why is that not the answer? – Slow (for large corpora) – NOT Calpurnia is non-trivial – Other operations (e.g., find the word Romans near countrymen) not feasible – Ranked retrieval (best documents to return) • Later lectures 9 Sec. 1.1",unstructur data play shakespear contain word brutu caesar calpurnia grep shakespear s play brutu caesar strip line contain calpurnia answer slow larg corpora calpurnia non trivial oper e g word roman near countrymen feasibl rank retriev best document return later lectur sec,"unstructured data in 1620 • which plays of shakespeare contain the words brutus and caesar but not calpurnia? • one could grep all of shakespeare’s plays for brutus and caesar, then strip out lines containing calpurnia? • why is that not the answer? – slow (for large corpora) – not calpurnia is non-trivial – other operations (e.g., find the word romans near countrymen) not feasible – ranked retrieval (best documents to return) • later lectures 9 sec. 1.1"
IR_ch1,10,"Term-document incidence matrices Antony and Cleopatra Julius Caesar The Tempest Hamlet Othello Macbeth Antony 1 1 0 0 0 1 Brutus 1 1 0 1 0 0 Caesar 1 1 0 1 1 1 Calpurnia 0 1 0 0 0 0 Cleopatra 1 0 0 0 0 0 mercy 1 0 1 1 1 1 worser 1 0 1 1 1 0 1 if play contains word, 0 otherwise Brutus AND Caesar BUT NOT Calpurnia Sec. 1.1",term document incid matric antoni cleopatra juliu caesar tempest hamlet othello macbeth antoni brutu caesar calpurnia cleopatra merci worser play contain word brutu caesar calpurnia sec,"term-document incidence matrices antony and cleopatra julius caesar the tempest hamlet othello macbeth antony 1 1 0 0 0 1 brutus 1 1 0 1 0 0 caesar 1 1 0 1 1 1 calpurnia 0 1 0 0 0 0 cleopatra 1 0 0 0 0 0 mercy 1 0 1 1 1 1 worser 1 0 1 1 1 0 1 if play contains word, 0 otherwise brutus and caesar but not calpurnia sec. 1.1"
